"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000231709.1",2.31312323980782,-0.567389027481076,0.776985609612632,-0.730243933042659,0.465241092630058,NA,NA,NA
"ENSG00000235146.2",0.823787860791006,-0.101466367981947,1.20681432727207,-0.0840778615972396,0.932994526195314,NA,NA,NA
"ENSG00000239664.2",0.625402148888524,0.693498394134309,1.25227660897469,0.553790104489866,0.579722501312973,NA,NA,NA
"ENSG00000230021.3",4.03342967880469,-0.102758224489054,0.534657618795979,-0.192194445335802,0.847589896775941,0.942825992784044,"LOC101928626","101928626"
"ENSG00000223659.1",0.961342062893386,0.0406678778409209,1.08487562100889,0.0374862122932596,0.970097333417001,NA,NA,NA
"ENSG00000225972.1",118.383419813362,-0.772961729471969,0.506863376902512,-1.52499029264179,0.127261518917241,0.419639702138667,NA,NA
"ENSG00000225630.1",13536.5801437791,0.729255558634796,0.454494279553717,1.60454287642713,0.108594441344533,0.391634947942588,NA,NA
"ENSG00000237973.1",1609.59630319827,0.0242473524214195,0.527418310754902,0.0459736644082643,0.963331240466016,0.987725026990011,NA,NA
"ENSG00000229344.1",259.780887348668,0.527947806778066,0.382642039037431,1.37974334473589,0.167665682101611,0.473747174901216,NA,NA
"ENSG00000240409.1",83.6914106814723,0.425917710898542,0.486196588105008,0.876019538842493,0.381019411892587,0.679177868151446,NA,NA
"ENSG00000248527.1",35896.755943928,0.249095210224815,0.324930784473287,0.766610066290266,0.443313388667249,0.723860912110824,NA,NA
"ENSG00000198744.5",330.262603873972,0.362167238092538,0.402014554462101,0.900880911083236,0.367651641648547,0.668914583814563,NA,NA
"ENSG00000268663.1",0.239225640916562,0.662566219508623,1.88469384867744,0.351551112650774,0.725174933943206,NA,NA,NA
"ENSG00000185097.2",0.72936706514597,-1.05994644938252,0.992355212777401,-1.06811193787752,0.285470021511825,NA,NA,NA
"ENSG00000229376.3",16.9009110801242,-0.357412981173601,0.325223675371782,-1.09897589947909,0.271778578292421,0.585005965019517,NA,NA
"ENSG00000224956.5",264.156918035918,0.256095487385722,0.310569984615116,0.824598319451561,0.409599675824252,0.699375865940596,NA,NA
"ENSG00000235373.1",18.3039100527199,0.297124788418479,0.326110295137064,0.911117474207913,0.362233480277484,0.663972995602714,NA,NA
"ENSG00000223181.1",0.264468462949875,0.072461551322343,2.47397401866748,0.0292895360968148,0.976633672308588,NA,NA,NA
"ENSG00000240618.1",5.03742088390429,0.20211502590672,0.585133163417115,0.345417143554794,0.729780790709753,0.891943025155267,NA,NA
"ENSG00000229905.1",0.499546799647785,0.055974977043959,1.29516545827022,0.0432183986119561,0.965527438819344,NA,NA,NA
"ENSG00000228327.2",119.62452750862,0.371412473481714,0.247995858813019,1.49765594981869,0.134222662185096,0.429989946173625,NA,NA
"ENSG00000237491.4",152.55044466479,-0.0202840070927062,0.236043357233907,-0.0859333951626766,0.93151936419046,0.975332932832644,"LINC01409","105378580"
"ENSG00000230092.3",16.1966656750956,0.805646790973093,0.347068711294622,2.32128902650977,0.0202712500855113,0.180449851854543,NA,NA
"ENSG00000269831.1",0.262976165767047,1.46120951381784,1.86440041938926,0.783742321993528,0.433191323757111,NA,NA,NA
